painting,paintingLabel,artist,artistLabel,image,creationDate,artistBirthDate,artistDeathDate,movement,movementLabel
http://www.wikidata.org/entity/Q644887,Giuditta e Oloferne,http://www.wikidata.org/entity/Q5432,Francisco Goya,http://commons.wikimedia.org/wiki/Special:FilePath/Judith%20y%20Holofernes%20%28Goya%29.jpg,1820-01-01T00:00:00Z,1746-03-30T00:00:00Z,1828-04-16T00:00:00Z,,
http://www.wikidata.org/entity/Q653607,Girl eating oysters,http://www.wikidata.org/entity/Q205863,Jan Steen,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Steen%20-%20Girl%20Eating%20Oysters%20-%20818%20-%20Mauritshuis.jpg,1658-01-01T00:00:00Z,1626-01-01T00:00:00Z,1679-02-03T00:00:00Z,http://www.wikidata.org/entity/Q2352880,pittura del Secolo d'oro olandese
http://www.wikidata.org/entity/Q653607,Girl eating oysters,http://www.wikidata.org/entity/Q205863,Jan Steen,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Steen%20008.jpg,1658-01-01T00:00:00Z,1626-01-01T00:00:00Z,1679-02-03T00:00:00Z,http://www.wikidata.org/entity/Q2352880,pittura del Secolo d'oro olandese
http://www.wikidata.org/entity/Q613390,Ragazze in nero,http://www.wikidata.org/entity/Q39931,Pierre-Auguste Renoir,http://commons.wikimedia.org/wiki/Special:FilePath/Jeunes%20Filles%20en%20noir%20by%20Pierre-Auguste%20Renoir%20159.jpg,1919-01-01T00:00:00Z,1841-02-25T00:00:00Z,1919-12-03T00:00:00Z,http://www.wikidata.org/entity/Q40415,impressionismo
http://www.wikidata.org/entity/Q614986,Una moderna Olympia,http://www.wikidata.org/entity/Q35548,Paul Cézanne,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Cezanne%2C%20A%20Modern%20Olympia%2C%20c.%201873-1874.jpg,1873-01-01T00:00:00Z,1839-01-19T00:00:00Z,1906-10-22T00:00:00Z,,
http://www.wikidata.org/entity/Q644887,Giuditta e Oloferne,http://www.wikidata.org/entity/Q5432,Francisco Goya,http://commons.wikimedia.org/wiki/Special:FilePath/Judith%20y%20Holofernes%20%28Goya%29.jpg,1819-01-01T00:00:00Z,1746-03-30T00:00:00Z,1828-04-16T00:00:00Z,,
http://www.wikidata.org/entity/Q693746,Monaco in riva al mare,http://www.wikidata.org/entity/Q104884,Caspar David Friedrich,http://commons.wikimedia.org/wiki/Special:FilePath/Caspar%20David%20Friedrich%20-%20Der%20M%C3%B6nch%20am%20Meer%20-%20Google%20Art%20Project.jpg,1800-01-01T00:00:00Z,1774-09-05T00:00:00Z,1840-05-07T00:00:00Z,http://www.wikidata.org/entity/Q37068,romanticismo
http://www.wikidata.org/entity/Q698228,Madonna del Rosario,http://www.wikidata.org/entity/Q42207,Caravaggio,http://commons.wikimedia.org/wiki/Special:FilePath/Michelangelo%20Merisi%2C%20called%20Caravaggio%20-%20Madonna%20of%20the%20Rosary%20-%20Google%20Art%20Project.jpg,1607-01-01T00:00:00Z,1571-09-29T00:00:00Z,1610-01-01T00:00:00Z,http://www.wikidata.org/entity/Q37853,barocco
http://www.wikidata.org/entity/Q698228,Madonna del Rosario,http://www.wikidata.org/entity/Q42207,Caravaggio,http://commons.wikimedia.org/wiki/Special:FilePath/Michelangelo%20Merisi%2C%20gen.%20Caravaggio%2C%20%2C%20Kunsthistorisches%20Museum%20Wien%2C%20Gem%C3%A4ldegalerie%20-%20Rosenkranzmadonna%20-%20GG%20147%20-%20Kunsthistorisches%20Museum.jpg,1607-01-01T00:00:00Z,1571-09-29T00:00:00Z,1610-01-01T00:00:00Z,http://www.wikidata.org/entity/Q37853,barocco
http://www.wikidata.org/entity/Q613928,"Antoine-Laurent Lavoisier (1743-1794) e la moglie (Marie-Anne-Pierrette Paulze, 1758-1836)",http://www.wikidata.org/entity/Q83155,Jacques-Louis David,http://commons.wikimedia.org/wiki/Special:FilePath/David%20-%20Portrait%20of%20Monsieur%20Lavoisier%20and%20His%20Wife.jpg,1788-01-01T00:00:00Z,1748-08-30T00:00:00Z,1825-12-29T00:00:00Z,http://www.wikidata.org/entity/Q14378,neoclassicismo
